,month,day,hour,precp
348,6,15,12,0.0
349,6,15,13,0.0
350,6,15,14,0.0
351,6,15,15,0.0
352,6,15,16,0.0
353,6,15,17,0.0
354,6,15,18,0.0
355,6,15,19,0.0
356,6,15,20,0.0
357,6,15,21,0.0
358,6,15,22,0.0
359,6,15,23,0.0
360,6,16,0,0.0
361,6,16,1,0.0
362,6,16,2,0.0
363,6,16,3,0.0
364,6,16,4,0.0
365,6,16,5,0.0
366,6,16,6,0.0
367,6,16,7,0.0
368,6,16,8,0.0
369,6,16,9,0.0
370,6,16,10,0.0
371,6,16,11,0.0
372,6,16,12,0.0
373,6,16,13,0.0
374,6,16,14,0.0
375,6,16,15,0.0
376,6,16,16,0.0
377,6,16,17,0.0
378,6,16,18,0.0
379,6,16,19,0.0
380,6,16,20,0.0
381,6,16,21,0.0
382,6,16,22,0.0
383,6,16,23,0.0
384,6,17,0,0.0
385,6,17,1,0.0
386,6,17,2,0.0
387,6,17,3,0.0
388,6,17,4,0.0
389,6,17,5,0.0
390,6,17,6,0.0
391,6,17,7,0.0
392,6,17,8,0.0
393,6,17,9,0.0
394,6,17,10,0.0
395,6,17,11,0.0
396,6,17,12,0.0
397,6,17,13,0.0
398,6,17,14,0.0
399,6,17,15,0.0
400,6,17,16,0.0
401,6,17,17,0.0
402,6,17,18,0.0
403,6,17,19,0.0
404,6,17,20,0.0
405,6,17,21,0.0
406,6,17,22,0.0
407,6,17,23,0.0
408,6,18,0,0.0
409,6,18,1,0.0
410,6,18,2,0.0
411,6,18,3,0.0
412,6,18,4,0.0
413,6,18,5,0.0
414,6,18,6,0.0
415,6,18,7,0.0
416,6,18,8,0.0
417,6,18,9,0.0
418,6,18,10,0.0
419,6,18,11,0.0
420,6,18,12,0.0
421,6,18,13,0.0
422,6,18,14,0.0
423,6,18,15,0.0
424,6,18,16,0.0
425,6,18,17,0.0
426,6,18,18,0.0
427,6,18,19,0.0
428,6,18,20,0.0
429,6,18,21,0.0
430,6,18,22,0.0
431,6,18,23,0.0
432,6,19,0,0.0
433,6,19,1,0.0
434,6,19,2,0.0
435,6,19,3,0.0
436,6,19,4,0.0
437,6,19,5,0.0
438,6,19,6,0.0
439,6,19,7,0.0
440,6,19,8,0.0
441,6,19,9,0.0
442,6,19,10,0.0
443,6,19,11,0.0
444,6,19,12,0.0
445,6,19,13,0.0
446,6,19,14,0.0
447,6,19,15,0.0
448,6,19,16,0.0
449,6,19,17,0.0
450,6,19,18,0.0
451,6,19,19,0.0
452,6,19,20,0.0
453,6,19,21,0.0
454,6,19,22,0.0
455,6,19,23,0.0
456,6,20,0,0.0
457,6,20,1,0.0
458,6,20,2,0.0
459,6,20,3,0.0
460,6,20,4,0.0
461,6,20,5,0.0
462,6,20,6,0.0
463,6,20,7,0.0
464,6,20,8,0.0
465,6,20,9,0.0
466,6,20,10,0.0
467,6,20,11,0.0
468,6,20,12,0.0
469,6,20,13,0.0
470,6,20,14,0.0
471,6,20,15,0.0
472,6,20,16,0.0
473,6,20,17,0.0
474,6,20,18,0.0
475,6,20,19,0.0
476,6,20,20,0.0
477,6,20,21,0.0
478,6,20,22,0.0
479,6,20,23,0.0
480,6,21,0,0.0
481,6,21,1,0.0
482,6,21,2,0.0
483,6,21,3,0.0
484,6,21,4,0.0
485,6,21,5,0.0
486,6,21,6,0.0
487,6,21,7,0.0
488,6,21,8,0.0
489,6,21,9,0.0
490,6,21,10,0.0
491,6,21,11,0.0
492,6,21,12,0.0
493,6,21,13,0.0
494,6,21,14,0.0
495,6,21,15,0.0
496,6,21,16,0.0
497,6,21,17,0.0
498,6,21,18,0.0
499,6,21,19,0.0
500,6,21,20,0.0
501,6,21,21,0.0
502,6,21,22,0.0
503,6,21,23,0.0
504,6,22,0,0.0
505,6,22,1,0.0
506,6,22,2,0.0
507,6,22,3,0.0
508,6,22,4,0.0
509,6,22,5,0.0
510,6,22,6,0.0
