,month,day,hour,speed
666,6,30,18,2.8
667,6,30,19,2.7
668,6,30,20,2.0
669,6,30,21,1.4
670,6,30,22,1.6
671,6,30,23,1.7
672,7,1,0,0.1
673,7,1,1,1.5
674,7,1,2,1.4
675,7,1,3,2.5
676,7,1,4,0.8
677,7,1,5,2.4
678,7,1,6,2.5
679,7,1,7,3.7
680,7,1,8,4.1
681,7,1,9,3.5
682,7,1,10,4.3
683,7,1,11,4.9
684,7,1,12,5.8
685,7,1,13,6.1
686,7,1,14,7.3
687,7,1,15,6.7
688,7,1,16,5.5
689,7,1,17,5.1
690,7,1,18,3.7
691,7,1,19,4.5
692,7,1,20,3.6
693,7,1,21,3.2
694,7,1,22,3.2
695,7,1,23,1.9
696,7,2,0,1.5
697,7,2,1,0.8
698,7,2,2,2.9
699,7,2,3,5.3
700,7,2,4,4.0
701,7,2,5,3.6
702,7,2,6,5.0
703,7,2,7,3.4
704,7,2,8,5.3
705,7,2,9,6.0
706,7,2,10,6.0
707,7,2,11,4.4
708,7,2,12,6.5
709,7,2,13,4.8
710,7,2,14,5.6
711,7,2,15,5.2
712,7,2,16,4.6
713,7,2,17,4.4
714,7,2,18,3.2
715,7,2,19,4.6
716,7,2,20,4.6
717,7,2,21,4.6
718,7,2,22,5.7
719,7,2,23,2.8
720,7,3,0,3.1
721,7,3,1,3.4
722,7,3,2,3.0
723,7,3,3,5.2
724,7,3,4,4.8
725,7,3,5,4.8
726,7,3,6,3.7
727,7,3,7,3.6
728,7,3,8,2.5
729,7,3,9,0.5
730,7,3,10,2.0
731,7,3,11,3.2
732,7,3,12,2.9
733,7,3,13,1.5
734,7,3,14,3.7
735,7,3,15,4.2
736,7,3,16,4.5
737,7,3,17,3.5
738,7,3,18,5.0
739,7,3,19,3.3
740,7,3,20,4.3
741,7,3,21,2.5
742,7,3,22,3.6
743,7,3,23,3.9
744,7,4,0,4.5
745,7,4,1,3.5
746,7,4,2,2.5
747,7,4,3,4.0
748,7,4,4,2.8
749,7,4,5,3.9
750,7,4,6,4.2
751,7,4,7,4.2
752,7,4,8,4.7
753,7,4,9,4.6
754,7,4,10,3.4
755,7,4,11,3.7
756,7,4,12,2.7
757,7,4,13,3.3
758,7,4,14,1.9
759,7,4,15,2.0
760,7,4,16,2.2
761,7,4,17,2.5
762,7,4,18,1.5
763,7,4,19,2.0
764,7,4,20,2.5
765,7,4,21,1.8
766,7,4,22,1.9
767,7,4,23,1.9
768,7,5,0,2.2
769,7,5,1,2.9
770,7,5,2,3.9
771,7,5,3,2.5
772,7,5,4,2.2
773,7,5,5,2.1
774,7,5,6,2.0
775,7,5,7,3.8
776,7,5,8,2.8
777,7,5,9,5.6
778,7,5,10,2.1
779,7,5,11,2.3
780,7,5,12,2.1
781,7,5,13,1.3
782,7,5,14,2.8
783,7,5,15,2.4
784,7,5,16,1.9
785,7,5,17,2.4
786,7,5,18,2.3
787,7,5,19,1.3
788,7,5,20,1.9
789,7,5,21,1.4
790,7,5,22,2.0
791,7,5,23,1.6
792,7,6,0,1.7
793,7,6,1,2.0
794,7,6,2,1.7
795,7,6,3,2.3
796,7,6,4,2.6
797,7,6,5,2.6
798,7,6,6,3.4
799,7,6,7,1.9
800,7,6,8,3.5
801,7,6,9,3.4
802,7,6,10,3.9
803,7,6,11,3.8
804,7,6,12,4.2
805,7,6,13,2.8
806,7,6,14,2.2
807,7,6,15,4.5
808,7,6,16,3.0
809,7,6,17,2.0
810,7,6,18,1.6
811,7,6,19,1.6
812,7,6,20,2.7
813,7,6,21,2.5
814,7,6,22,1.7
815,7,6,23,2.3
816,7,7,0,3.4
817,7,7,1,2.4
818,7,7,2,2.5
819,7,7,3,2.7
820,7,7,4,2.0
821,7,7,5,3.9
822,7,7,6,2.8
823,7,7,7,2.5
824,7,7,8,2.6
825,7,7,9,2.7
826,7,7,10,3.6
827,7,7,11,3.2
828,7,7,12,2.6
829,7,7,13,2.2
830,7,7,14,3.6
831,7,7,15,2.4
832,7,7,16,2.1
833,7,7,17,2.5
834,7,7,18,3.8
835,7,7,19,2.9
836,7,7,20,3.1
837,7,7,21,3.5
838,7,7,22,3.0
839,7,7,23,2.7
840,7,8,0,2.9
841,7,8,1,3.0
842,7,8,2,2.8
843,7,8,3,2.7
844,7,8,4,2.0
845,7,8,5,2.0
846,7,8,6,0.8
847,7,8,7,1.5
848,7,8,8,0.9
849,7,8,9,0.0
850,7,8,10,2.3
851,7,8,11,2.1
852,7,8,12,4.1
853,7,8,13,3.3
854,7,8,14,2.9
855,7,8,15,3.5
856,7,8,16,3.1
857,7,8,17,2.2
858,7,8,18,3.1
859,7,8,19,3.6
860,7,8,20,2.5
861,7,8,21,2.6
862,7,8,22,2.8
863,7,8,23,3.3
864,7,9,0,2.9
865,7,9,1,2.7
866,7,9,2,2.5
867,7,9,3,2.6
868,7,9,4,3.3
869,7,9,5,1.9
870,7,9,6,2.9
871,7,9,7,2.9
872,7,9,8,0.6
873,7,9,9,1.6
874,7,9,10,0.7
875,7,9,11,3.0
876,7,9,12,2.1
877,7,9,13,2.5
878,7,9,14,2.5
879,7,9,15,2.9
880,7,9,16,4.5
881,7,9,17,2.7
882,7,9,18,2.7
883,7,9,19,2.4
884,7,9,20,2.5
885,7,9,21,3.2
886,7,9,22,2.7
887,7,9,23,2.1
888,7,10,0,2.8
889,7,10,1,2.3
890,7,10,2,3.2
891,7,10,3,2.1
892,7,10,4,1.7
893,7,10,5,2.0
894,7,10,6,3.0
895,7,10,7,3.2
896,7,10,8,4.0
897,7,10,9,5.1
898,7,10,10,3.3
899,7,10,11,3.9
900,7,10,12,3.2
901,7,10,13,5.1
902,7,10,14,4.6
903,7,10,15,3.0
904,7,10,16,2.2
905,7,10,17,1.8
906,7,10,18,3.3
907,7,10,19,4.0
908,7,10,20,3.6
909,7,10,21,3.7
910,7,10,22,4.1
911,7,10,23,2.2
912,7,11,0,2.0
913,7,11,1,3.9
914,7,11,2,2.6
915,7,11,3,3.5
916,7,11,4,4.2
917,7,11,5,3.5
918,7,11,6,2.7
919,7,11,7,2.3
920,7,11,8,3.5
921,7,11,9,4.4
922,7,11,10,3.0
923,7,11,11,4.3
924,7,11,12,3.4
925,7,11,13,2.3
926,7,11,14,2.6
927,7,11,15,1.9
928,7,11,16,2.2
929,7,11,17,3.1
930,7,11,18,3.3
931,7,11,19,2.3
932,7,11,20,2.4
933,7,11,21,2.2
934,7,11,22,2.3
935,7,11,23,3.2
936,7,12,0,2.6
937,7,12,1,1.6
938,7,12,2,1.1
939,7,12,3,0.6
940,7,12,4,0.9
941,7,12,5,1.7
942,7,12,6,2.4
943,7,12,7,2.5
944,7,12,8,3.3
945,7,12,9,2.8
946,7,12,10,3.8
947,7,12,11,4.5
948,7,12,12,3.9
949,7,12,13,4.3
950,7,12,14,4.7
951,7,12,15,4.5
952,7,12,16,3.4
953,7,12,17,4.0
954,7,12,18,2.8
955,7,12,19,2.7
956,7,12,20,2.1
957,7,12,21,2.9
958,7,12,22,2.7
959,7,12,23,2.0
960,7,13,0,2.6
961,7,13,1,2.4
962,7,13,2,3.4
963,7,13,3,2.5
964,7,13,4,3.5
965,7,13,5,2.0
966,7,13,6,2.7
967,7,13,7,3.1
968,7,13,8,1.3
969,7,13,9,2.3
970,7,13,10,3.5
971,7,13,11,2.6
972,7,13,12,2.8
973,7,13,13,2.6
974,7,13,14,2.5
975,7,13,15,3.0
976,7,13,16,2.5
977,7,13,17,2.4
978,7,13,18,1.7
979,7,13,19,1.5
980,7,13,20,2.3
981,7,13,21,1.8
982,7,13,22,1.6
983,7,13,23,2.0
984,7,14,0,1.5
985,7,14,1,2.3
986,7,14,2,1.0
987,7,14,3,2.0
988,7,14,4,2.7
989,7,14,5,1.5
990,7,14,6,2.5
991,7,14,7,2.6
992,7,14,8,1.2
993,7,14,9,2.5
994,7,14,10,3.5
995,7,14,11,2.8
996,7,14,12,2.8
997,7,14,13,3.8
998,7,14,14,3.5
999,7,14,15,2.8
1000,7,14,16,3.2
1001,7,14,17,2.8
1002,7,14,18,2.4
1003,7,14,19,1.5
